date,name,venue,capacity,Lat,Long
3/21/2023,Rauw Alejandro,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/7/2023,Depeche Mode,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/11/2023,Nav,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/28/2023,Elevation Worship,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/1/2023,Disturbed,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/11/2023,Blink-182,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/8/2023,Paramore,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/20/2023,Stevie Nicks,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/2/2023,TWICE,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/3/2023,TWICE,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/14/2023,Alicia Keys,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/8/2023,"Lionel Richie & Earth, Wind & Fire",scotiabank arena,19800,"43.6435° N,",79.3791° W
8/10/2023,Ricky Gervais,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/11/2023,Sam Smith,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/19/2023,LL Cool J,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/1/2023,NF,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/6/2023,Eason Chan,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/10/2023,Eric Clapton,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/11/2023,Peter Gabriel,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/18/2023,The Chicks,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/19/2023,Duran Duran,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/24/2023,André Rieu,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/27/2023,Måneskin,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/29/2023,Andrew Schulz,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/30/2023,Andrew Schulz,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/1/2023,Wu-Tang Clan & Nas,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/5/2023,Drake,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/7/2023,Drake,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/8/2023,Queen + Adam Lambert,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/13/2023,Daniel Caesar,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/17/2023,Enrique Iglesias,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/18/2023,Pitbull,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/18/2023,Ricky Martin,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/22/2023,Shania Twain,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/24/2023,Joji,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/5/2023,Depeche Mode,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/7/2023,Adam Sandler,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/18/2023,The 1975,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/20/2023,Tool,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/21/2023,Tool,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/25/2023,Romeo Santos,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/27/2023,Mariah Carey,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/3/2023,Trans-Siberian Orchestra,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/11/2023,Doja Cat,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/29/2023,Travis Scott,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/6/2024,Travis Scott,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/11/2024,Madonna,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/12/2024,Madonna,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/9/2014,Demi Lovato,Rogers Center arena,"49,286",43.6418° N,79.3891° W
2/14/2014,Miley Cyrus,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/13/2014,Ariana Grande,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/28/2014,Queen + Adam Lambert,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/2/2014,Santana,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/3/2014,Rod Stewart,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/9/2014,Lady Gaga,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/9/2014,Katy Perry,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/10/2014,Katy Perry,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/20/2014,Blake Shelton,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/18/2014,Fleetwood Mac,Rogers Center arena,"49,286",43.6418° N,79.3891° W
2/4/2015,Sam Smith,Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/29/2015,Maroon 5,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/16/2015,Ariana Grande,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/14/2015,U2,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/15/2015,U3,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/7/2015,Shania Twain,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/9/2015,,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/14/2015,Andrea Bocelli,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/19/2015,Ed Sheeran,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/17/2015,Rush,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/30/2015,Imagine Dragons,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/16/2015,Nicki Minaj,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/31/2015,Janet Jackson,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/14/2015,Madonna,Rogers Center arena,"49,286",43.6418° N,79.3891° W
12/10/2015,Muse,Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/7/2016,Black Sabbath,Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/11/2016,Justin Bieber,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/1/2016,Ellie Goulding,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/10/2016,Iron Maiden,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/19/2016,Paul McCartney,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/20/2016,Paul McCartney,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/23/2016,Rihanna,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/14/2016,Selena Gomez,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/20/2016,Adele,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/21/2016,Adele,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/24/2016,Demi Lovato,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/25/2016,Nick Jonas,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/10/2016,Keith Urban,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/17/2016,Drake,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/18/2016,Future,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/19/2016,Dolly Parton,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/17/2016,Kanye West,Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/14/2017,Eric Church[89],Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/18/2017,Red Hot Chili Peppers[90],Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/24/2017,Ariana Grande,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/19/2017,John Mayer[92][93],Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/25/2017,The Weeknd[94],Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/27/2017,Lionel Richie,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/28/2017,Mariah Carey[95],Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/2/2017,Queen + Adam Lambert[96],Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/8/2017,Shawn Mendes,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/18/2017,J. Cole,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/26/2017,Bruno Mars[98],Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/27/2017,Bruno Mars[98],Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/28/2017,Ed Sheeran,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/1/2017,Lady Gaga[99],Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/2/2017,Kendrick Lamar[100],Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/26/2017,Janet Jackson,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/8/2017,Imagine Dragons,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/15/2017,Linkin Park,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/25/2017,Depeche Mode[103],Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/28/2017,Roger Waters[104],Rogers Center arena,"49,286",43.6418° N,79.3891° W
12/11/2017,Jay-Z[105],Rogers Center arena,"49,286",43.6418° N,79.3891° W
2/5/2018,Katy Perry[106],Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/27/2018,Post Malone,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/5/2018,Shania Twain,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/6/2018,Shania Twain,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/12/2018,Pink,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/6/2018,Bryan Adams,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/6/2018,Harry Styles,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/11/2018,Panic! at the Disco,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/10/2018,Sam Smith[108],Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/3/2018,Drake,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/4/2018,Migos,Rogers Center arena,"49,286",43.6418° N,79.3891° W
12/7/2018,Childish Gambino,Rogers Center arena,"49,286",43.6418° N,79.3891° W
1/25/2019,Travis Scott,Rogers Center arena,"49,286",43.6418° N,79.3891° W
1/31/2019,Kiss,Rogers Center arena,"49,286",43.6418° N,79.3891° W
2/14/2019,Justin Timberlake,Rogers Center arena,"49,286",43.6418° N,79.3891° W
2/15/2019,Justin Timberlake,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/27/2019,Ariana Grande,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/15/2019,Thomas Rhett,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/30/2019,Cher,Rogers Center arena,"49,286",43.6418° N,79.3891° W
6/14/2019,Shawn Mendes,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/2/2019,Pentatonix,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/10/2019,Queen + Adam Lambert,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/27/2019,Backstreet Boys,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/4/2019,Rob Zombie,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/5/2019,Marilyn Manson,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/3/2019,Iron Maiden[112],Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/16/2019,Post Malone,Rogers Center arena,"49,286",43.6418° N,79.3891° W
9/30/2019,Lana Del Rey,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/21/2019,The Who,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/17/2020,Celine Dion,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/18/2020,Celine Dion,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/20/2020,Janet Jackson,Rogers Center arena,"49,286",43.6418° N,79.3891° W
4/1/2022,Dua Lipa,Rogers Center arena,"49,286",43.6418° N,79.3891° W
7/2/2022,Shawn Mendes,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/24/2022,Backstreet Boys,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/28/2022,Kendrick Lamar,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/6/2022,Post Malone,Rogers Center arena,"49,286",43.6418° N,79.3891° W
3/19/2023,SZA,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/2/2023,Shania Twain,Rogers Center arena,"49,286",43.6418° N,79.3891° W
5/3/2023,Shania Twain,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/29/2023,Drake,Rogers Center arena,"49,286",43.6418° N,79.3891° W
8/30/2023,Drake,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/2/2023,Iron Maiden,Rogers Center arena,"49,286",43.6418° N,79.3891° W
10/4/2023,Morgan Wallen,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/8/2023,Kiss,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/10/2023,Travis Scott,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/11/2023,Jonas Brothers,Rogers Center arena,"49,286",43.6418° N,79.3891° W
11/14/2023,Shania Twain,Rogers Center arena,"49,286",43.6418° N,79.3891° W
2/21/2024,Madonna,Rogers Center arena,"49,286",43.6418° N,79.3891° W
27-Jul-14,Nine Inch Nails / Soundgarden,Budweiser Stage,"16,000",43.6293° N,79.4152° W
25-Jul-14,Avenged Sevenfold / Korn / Trivium,Budweiser Stage,"16,000",43.6293° N,79.4152° W
24-Jul-14,James Taylor,Budweiser Stage,"16,000",43.6293° N,79.4152° W
20-Jul-14,Tim McGraw / Cassadee Pope / Kip Moore,Budweiser Stage,"16,000",43.6293° N,79.4152° W
19-Jul-14,Ty Dolla $ign / Wiz Khalifa,Budweiser Stage,"16,000",43.6293° N,79.4152° W
4-Jul-14,"Mayday Parade / Yellowcard / We The Kings / Echosmith / Breathe Carolina / The Maine / K.Flay / The Ready Set / Parkway Drive / Anberlin / The Devil Wears Prada / Motionless In White / Less Than Jake / Cute Is What We Aim For / Crown the Empire / Neck Deep / The Story So Far / PVRIS / The Word Alive / Beartooth / Four Year Strong / The Summer Set / Issues / Watsky / Attila / Bayside / A Skylit Drive / Every Time I Die / Chelsea Grin / State Champs / Finch / Saves The Day / Get Scared / Real Friends / Chunk! No, Captain Chunk! / ONE OK ROCK / Born of Osiris / Ice Nine Kills / The Ghost Inside / For Today / Wax / Icon for Hire / Secrets / Ghost Town / This Wild Life / Volumes / For All Those Sleeping / Front Porch Step / The Color Morale / Marmozets / Terror / Teenage Bottlerocket / MC Chris / Vanna / Crizzly / Stray from the Path / Bad Rabbits / Pacific Dub / I Fight Dragons / A Lot Like Birds / Dangerkids / The Protomen / Antiserum / NiT GriT / Mixtapes / Courage My Love / Plague Vendor / Air Dubai / Lionize / Tear Out the Heart / Elder Brother / Anthony Raneri / Young Statues / Beebs and Her Money Makers / Brian Marquis / Heart To Heart / Rob Lynch / Survive This! / Nick Santino / Scare Don't Fear / We Are the In Crowd / Thecityshakeup / DJ Scout / DJ Nicola BearShow all bands ",Budweiser Stage,"16,000",43.6293° N,79.4152° W
3-Jul-14,Goo Goo Dolls / Daughtry / Plain White T's / The Goo Goo Dolls Daughtry,Budweiser Stage,"16,000",43.6293° N,79.4152° W
2-Jul-14,Brad Paisley / Charlie Worsham / Leah Turner / Dee Jay Silver / Randy Houser,Budweiser Stage,"16,000",43.6293° N,79.4152° W
29-Jun-14,Dreams Music Festival,Budweiser Stage,"16,000",43.6293° N,79.4152° W
,"""Dreams Music Festival"" / Tiësto / Eric Prydz / Dash Berlin / Paul Oakenfold / Fedde le Grand / The Chainsmokers / Dzeko & Torres / DJ Jelo / Luciano / Paco Osuna / Victor Calderone / Sharam / Destructo / Sydney Blu / Excision / Andy C / Dirtyphonics / Loadstar / DC Breaks / Calyx & Teebee / Armanni Reign / Marcus Visionary / Mystical Influence / Lush / Art Department / Green Velvet / Guy Gerber / DJ Sneak / Eric Volta / My Favorite Robot / NitinShow all bands ",Budweiser Stage,"16,000",43.6293° N,79.4152° W
25-Jun-14,Paramore / Fall Out Boy / New Politics / LOLO,Budweiser Stage,"16,000",43.6293° N,79.4152° W
23-Jun-14,Boston / Cheap Trick,Budweiser Stage,"16,000",43.6293° N,79.4152° W
22-Jun-14,OneRepublic / The Script / American Authors,Budweiser Stage,"16,000",43.6293° N,79.4152° W
21-Jun-14,Arctic Monkeys / White Denim,Budweiser Stage,"16,000",43.6293° N,79.4152° W
19-Jun-14,Journey / Steve Miller Band / Tower Of Power,Budweiser Stage,"16,000",43.6293° N,79.4152° W
28-May-14,Jack Johnson / Edward Sharpe & The Magnetic Zeros,Budweiser Stage,"16,000",43.6293° N,79.4152° W
18-May-14,Brad Paisley / Randy Houser / Charlie Worsham / Leah Turner / Dee Jay Silver,Budweiser Stage,"16,000",43.6293° N,79.4152° W
21-Sep-14,The Weeknd / ScHoolboy Q,Budweiser Stage,"16,000",43.6293° N,79.4152° W
20-Sep-14,Rascal Flatts / Gloriana / Sheryl Crow,Budweiser Stage,"16,000",43.6293° N,79.4152° W
14-Sep-14,"""Treehouse Big Day Out"" / The Wiggles / ""Max And Ruby""",Budweiser Stage,"16,000",43.6293° N,79.4152° W
13-Sep-14,"""Treehouse Big Day Out"" / The Wiggles / ""Max And Ruby""",Budweiser Stage,"16,000",43.6293° N,79.4152° W
4-Sep-14,Miranda Lambert / Justin Moore / Thomas Rhett / Jukebox Mafia,Budweiser Stage,"16,000",43.6293° N,79.4152° W
29-Aug-14,Dan Deacon / Arcade Fire,Budweiser Stage,"16,000",43.6293° N,79.4152° W
,,Budweiser Stage,"16,000",43.6293° N,79.4152° W
28-Aug-14,Jason Aldean / Florida Georgia Line / Tyler Farr,Budweiser Stage,"16,000",43.6293° N,79.4152° W
23-Aug-14,Cody Simpson / Sabrina Carpenter / Megan Nicole,Budweiser Stage,"16,000",43.6293° N,79.4152° W
22-Aug-14,Zac Brown Band,Budweiser Stage,"16,000",43.6293° N,79.4152° W
21-Aug-14,Zac Brown Band,Budweiser Stage,"16,000",43.6293° N,79.4152° W
20-Aug-14,Hedley / Magic! / Kardinal Offishall,Budweiser Stage,"16,000",43.6293° N,79.4152° W
15-Aug-14,Blue Rodeo / The Deep Dark Woods,Budweiser Stage,"16,000",43.6293° N,79.4152° W
12-Aug-14,Def Leppard / KISS / Kobra and the Lotus / Jake Dreyer,Budweiser Stage,"16,000",43.6293° N,79.4152° W
10-Aug-14,Mötley Crüe / Alice Cooper,Budweiser Stage,"16,000",43.6293° N,79.4152° W
9-Aug-14,Yanni,Budweiser Stage,"16,000",43.6293° N,79.4152° W
8-Aug-14,John Legend / Marsha Ambrosius,Budweiser Stage,"16,000",43.6293° N,79.4152° W
5-Aug-14,Kings Of Leon / Young the Giant / KONGOS,Budweiser Stage,"16,000",43.6293° N,79.4152° W
3-Aug-14,"""OVO Festival"" / OutKast",Budweiser Stage,"16,000",43.6293° N,79.4152° W
30-Jul-14,Lionel Richie / Ceelo Green,Budweiser Stage,"16,000",43.6293° N,79.4152° W
29-Jul-14,Wiz Khalifa / DJ Drama / Mack Wilds / Iamsu! / Rich Homie Quan / Sage the Gemini / Ty Dolla $ign / Jeezy / Tyga / Official Meet,Budweiser Stage,"16,000",43.6293° N,79.4152° W
23-Sep-15,Marc Anthony / Carlos Vives,Budweiser Stage,"16,000",43.6293° N,79.4152° W
18-Sep-15,Scorpions / Queensrÿche,Budweiser Stage,"16,000",43.6293° N,79.4152° W
17-Sep-15,Jason Aldean / Cole Swindell / Tyler Farr / Dee Jay Silver,Budweiser Stage,"16,000",43.6293° N,79.4152° W
15-Sep-15,Robert Plant & the Sensational Space Shifters,Budweiser Stage,"16,000",43.6293° N,79.4152° W
13-Sep-15,"""Treehouse Big Day Out"" / The Wiggles / Splash N Boots",Budweiser Stage,"16,000",43.6293° N,79.4152° W
12-Sep-15,"""Treehouse Big Day Out"" / The Wiggles / Splash N Boots",Budweiser Stage,"16,000",43.6293° N,79.4152° W
6-Sep-15,"""Funny Or Die Presents The Oddball Comedy & Curiosity Festival"" / Aziz Ansari / Amy Schumer",Budweiser Stage,"16,000",43.6293° N,79.4152° W
3-Sep-15,Zac Brown Band / Drake White / Drake White and the Big Fire,Budweiser Stage,"16,000",43.6293° N,79.4152° W
28-Aug-15,"Earth, Wind & Fire / Chicago",Budweiser Stage,"16,000",43.6293° N,79.4152° W
27-Aug-15,Rascal Flatts / RaeLynn / Scotty McCreery,Budweiser Stage,"16,000",43.6293° N,79.4152° W
26-Aug-15,Lenny Kravitz / Andra Day,Budweiser Stage,"16,000",43.6293° N,79.4152° W
25-Aug-15,5 Seconds of Summer / Hey Violet,Budweiser Stage,"16,000",43.6293° N,79.4152° W
23-Aug-15,The Tide / The Vamps / Becky G / Shane Harte,Budweiser Stage,"16,000",43.6293° N,79.4152° W
17-Aug-15,Cole Swindell,Budweiser Stage,"16,000",43.6293° N,79.4152° W
8-Aug-15,Slipknot / Lamb of God / Bullet for My Valentine / Motionless In White,Budweiser Stage,"16,000",43.6293° N,79.4152° W
7-Aug-15,Van Halen / Kenny Wayne Shepherd,Budweiser Stage,"16,000",43.6293° N,79.4152° W
5-Aug-15,Cheap Trick / Peter Frampton,Budweiser Stage,"16,000",43.6293° N,79.4152° W
4-Aug-15,Marilyn Manson / The Smashing Pumpkins,Budweiser Stage,"16,000",43.6293° N,79.4152° W
2-Aug-15,Drake / Big Sean / J. Cole / Jeremih / Cozz,Budweiser Stage,"16,000",43.6293° N,79.4152° W
28-Jul-15,Nicki Minaj / Meek Mill / Tinashe / Dej Loaf / Rae Sremmurd,Budweiser Stage,"16,000",43.6293° N,79.4152° W
, The Pinkprint Tour,Budweiser Stage,"16,000",43.6293° N,79.4152° W
25-Jul-15,Kelly Clarkson / Pentatonix / Eric Hutchinson / Abi Hoffman,Budweiser Stage,"16,000",43.6293° N,79.4152° W
22-Jul-15,The Australian Pink Floyd Show,Budweiser Stage,"16,000",43.6293° N,79.4152° W
21-Jul-15,Dave Matthews Band,Budweiser Stage,"16,000",43.6293° N,79.4152° W
20-Jul-15,Deep Purple / The Temperance Movement,Budweiser Stage,"16,000",43.6293° N,79.4152° W
17-Jul-15,"""Vans Warped Tour"" / Kosha Dillz / Splitbreed / Blessthefall / Hundredth / Lee Corey Oswald / Trophy Eyes / Family Force 5 / Born Cages / American Opera / PUP / Silverstein / Carousel Kings / Sirens and Sailors / Rain City Drive / Koo Koo Kanga Roo / '68 / Aaron West and the Roaring Twenties / Alvarez Kings / As It Is / Baby Baby / Beautiful Bodies / Bebe Rexha / Being As An Ocean / Black Boots / Black Veil Brides / BoyMeetsWorld / Brian Marquis / Buttons / Best Ex / chrisB / Citizen / Crossfaith / Escape the Fate / Fit for a King / Handguns / Hands Like Houses / Have Mercy / Ho99o9 / I Killed The Prom Queen / Icon for Hire / Jule Vera / Juliet Simms / Koji / Le Castle Vania / Major League / Mallory Knox / Man Overboard / MC Lars / Meghann Wright / Metro Station / MOD SUN / Moose Blood / Neck Deep / New Beat Fund / New Years Day / Night Riots / Our Last Night / Palisades / PVRIS / Riff Raff / Rotting Out / SayWeCanFly / Seaway / Set It Off / The Amity Affliction / The Dirty Nil / The Karma Killers / The Wonder Years / This Wild Life / Transit / While She Sleeps / Youth in Revolt / Pierce the Veil / Knuckle Puck / Senses Fail / Miss May I / Kaya Stewart / Trey the Ruler / Never Shout Never / The Kenneths / August Burns RedShow all bands ",Budweiser Stage,"16,000",43.6293° N,79.4152° W
15-Jul-15,Slayer / King Diamond / Hellyeah / The Devil Wears Prada / Whitechapel / Thy Art Is Murder / Sworn In / Jungle Rot / Code Orange / Kissing Candice / Feed Her To The Sharks / Shattered Sun,Budweiser Stage,"16,000",43.6293° N,79.4152° W
14-Jul-15,Def Leppard / Styx / Tesla,Budweiser Stage,"16,000",43.6293° N,79.4152° W
9-Jul-15,Foo Fighters / Royal Blood,Budweiser Stage,"16,000",43.6293° N,79.4152° W
8-Jul-15,Foo Fighters / Royal Blood,Budweiser Stage,"16,000",43.6293° N,79.4152° W
1-Jul-15,The Tragically Hip,Budweiser Stage,"16,000",43.6293° N,79.4152° W
19-Jun-15,System of a Down / Rob Mailloux,Budweiser Stage,"16,000",43.6293° N,79.4152° W
18-Jun-15,Lady Antebellum / Hunter Hayes / Sam Hunt,Budweiser Stage,"16,000",43.6293° N,79.4152° W
17-Jun-15,Fall Out Boy / MAX / Hoodie Allen / Wiz Kalifa,Budweiser Stage,"16,000",43.6293° N,79.4152° W
10-Jun-15,Romeo Santos,Budweiser Stage,"16,000",43.6293° N,79.4152° W
6-Jun-15,Darius Rucker / A Thousand Horses / Brett Eldredge / Brothers Osborne,Budweiser Stage,"16,000",43.6293° N,79.4152° W
4-Jun-15,Lana Del Ray / Grimes,Budweiser Stage,"16,000",43.6293° N,79.4152° W
3-Jun-15,Lana Del Rey / Grimes,Budweiser Stage,"16,000",43.6293° N,79.4152° W
9-Sep-16,Dolly Parton,Budweiser Stage,"16,000",43.6293° N,79.4152° W
8-Sep-16,John Mulaney / Sebastian Maniscalco / Brian Regan / Jeff Ross / Tom Segura / Iliza Shlesinger / Tony Hinchcliffe / Alice Wetterlund / K. Trevor Wilson,Budweiser Stage,"16,000",43.6293° N,79.4152° W
4-Sep-16,Funny Or Die Presents The Oddball Comedy & Curiosity Festival / Sebastian Maniscalco / Brian Regan / John Mulaney / Jeffrey Ross / Tom Segura / Iliza Shlesinger / Pete Davidson / Alice Wetterlund / Tony Hinchcliffe / Big Jay Oakerson,Budweiser Stage,"16,000",43.6293° N,79.4152° W
1-Sep-16,Kane Brown / Florida Georgia Line / The Cadillac Three,Budweiser Stage,"16,000",43.6293° N,79.4152° W
30-Aug-16,Common Kings / Hailee Steinfeld / Meghan Trainor,Budweiser Stage,"16,000",43.6293° N,79.4152° W
29-Aug-16,Black Sabbath / Rival Sons,Budweiser Stage,"16,000",43.6293° N,79.4152° W
28-Aug-16,Aviva,Budweiser Stage,"16,000",43.6293° N,79.4152° W
26-Aug-16,Counting Crows / Rob Thomas,Budweiser Stage,"16,000",43.6293° N,79.4152° W
24-Aug-16,Prophets of Rage / AWOLNATION / Wakrat,Budweiser Stage,"16,000",43.6293° N,79.4152° W
23-Aug-16,Korn / Rob Zombie / In This Moment,Budweiser Stage,"16,000",43.6293° N,79.4152° W
21-Aug-16,blink-182 / All Time Low / A Day to Remember / DJ Spider,Budweiser Stage,"16,000",43.6293° N,79.4152° W
, blink-182 / All Time Low / A Day to Remember,Budweiser Stage,"16,000",43.6293° N,79.4152° W
18-Aug-16,Maddie and Tae / Brad Paisley / Tyler Farr,Budweiser Stage,"16,000",43.6293° N,79.4152° W
13-Aug-16,YouTube FanFest 2016,Budweiser Stage,"16,000",43.6293° N,79.4152° W
,Max Schneider / Lilly Singh / Mike Tompkins / Humble the Poet / AsapSCIENCE / Megan Nicole / Tiffany Alvord / Sam Tsui / KRNFX / Poppin John / Marquese Scott,Budweiser Stage,"16,000",43.6293° N,79.4152° W
,  Photos   Setlists,Budweiser Stage,"16,000",43.6293° N,79.4152° W
11-Aug-16,Fifth Harmony / Victoria Monét / JoJo,Budweiser Stage,"16,000",43.6293° N,79.4152° W
10-Aug-16,Pitbull / Prince Royce / Farruko,Budweiser Stage,"16,000",43.6293° N,79.4152° W
9-Aug-16,Goo Goo Dolls / Collective Soul / Tribe Society,Budweiser Stage,"16,000",43.6293° N,79.4152° W
